s__Listeria monocytogenes_B	fosX	1691	1699	99.52913478516776	pima~~~fosX_2~~~AL591981~~~Fosfomycin~~~Fosfomycin
s__Mammaliicoccus sciuri	fosD	91	216	42.129629629629626	pima~~~fosD_1~~~KC989517~~~Fosfomycin~~~Fosfomycin
s__Mammaliicoccus sciuri	mecA1	36	216	16.666666666666664	pima~~~mecA1_5~~~AB547234~~~Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam~~~Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
s__Mammaliicoccus sciuri	sal(A)	212	216	98.14814814814815	pima~~~sal(A)_1~~~KC693025~~~Clindamycin;Dalfopristin;Lincomycin;Pristinamycin_IIA;Tiamulin;Virginiamycin_M~~~Clindamycin;Dalfopristin;Lincomycin;Pristinamycin_IIA;Tiamulin;Virginiamycin_M
s__Bacillus_A wiedmannii	blaZ	187	225	83.11111111111111	pima~~~blaZ_12~~~M15195~~~Amoxicillin;Ampicillin;Penicillin;Piperacillin~~~Amoxicillin;Ampicillin;Penicillin;Piperacillin
s__Bacillus_A wiedmannii	fosB1	224	225	99.55555555555556	pima~~~fosB1_1~~~CP001903~~~Fosfomycin~~~Fosfomycin
s__Streptococcus suis	tet(O)	509	1267	40.173638516179956	pima~~~tet(O)_3~~~Y07780~~~Doxycycline;Minocycline;Tetracycline~~~Doxycycline;Minocycline;Tetracycline
s__Streptococcus suis	erm(B)	569	1267	44.90923441199685	pima~~~erm(B)_18~~~X66468~~~Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S~~~Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
s__Listeria monocytogenes	fosX	1971	1977	99.69650986342944	pima~~~fosX_2~~~AL591981~~~Fosfomycin~~~Fosfomycin
s__Streptococcus agalactiae	mre(A)	1507	1516	99.40633245382587	pima~~~mre(A)_1~~~U92073~~~Azithromycin;Erythromycin;Spiramycin~~~Azithromycin;Erythromycin;Spiramycin
s__Listeria innocua	fosX	105	107	98.13084112149532	pima~~~fosX_2~~~AL591981~~~Fosfomycin~~~Fosfomycin
s__Streptococcus suis	ant(6)-Ia	363	1267	28.650355169692187	pima~~~ant(6)-Ia_2~~~KF421157~~~Streptomycin~~~Streptomycin
s__Streptococcus suis	tet(M)	245	1267	19.337016574585636	pima~~~tet(M)_1~~~X92947~~~Doxycycline;Minocycline;Tetracycline~~~Doxycycline;Minocycline;Tetracycline
s__Mammaliicoccus sciuri	ant(6)-Ia	107	216	49.53703703703704	pima~~~ant(6)-Ia_2~~~KF421157~~~Streptomycin~~~Streptomycin
s__Mammaliicoccus sciuri	mecA1	36	216	16.666666666666664	pima~~~mecA1_1~~~AB547235~~~Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam~~~Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
s__Mammaliicoccus sciuri	optrA	82	216	37.96296296296296	pima~~~optrA_13~~~KX620939~~~Chloramphenicol;Florfenicol;Linezolid~~~Chloramphenicol;Florfenicol;Linezolid
s__Mammaliicoccus sciuri	fexA	123	216	56.94444444444444	pima~~~fexA_1~~~AJ549214~~~Chloramphenicol;Florfenicol~~~Chloramphenicol;Florfenicol
s__Mammaliicoccus sciuri	erm(B)	110	216	50.92592592592593	pima~~~erm(B)_18~~~X66468~~~Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S~~~Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
s__Mammaliicoccus sciuri	aph(2'')-Ia	84	216	38.88888888888889	pima~~~aph(2'')-Ia_2~~~AP009486~~~Amikacin;Gentamicin;Kanamycin;Tobramycin~~~Amikacin;Gentamicin;Kanamycin;Tobramycin
