s__Streptococcus pyogenes	sagA	2143	2144	99.95335820895522	(sagA) streptolysin S associated protein [SLS (VF0251) - Exotoxin (VFC0235)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	ideS/mac	2139	2144	99.76679104477611	(ideS/mac) immunoglobulin G-degrading enzyme [IdeS (VF0284) - Immune modulation (VFC0258)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	fbp54	2140	2144	99.81343283582089	(fbp54) fibronectin-bing protein Fbp54 [FBPs (VF0243) - Adherence (VFC0001)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	hylA	2127	2144	99.2070895522388	(hylA) hyaluronidase [Hyaluronidase (VF0246) - Exoenzyme (VFC0251)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	mf3	544	2144	25.37313432835821	(mf3) deoxyribonuclease [Mitogenic factor (VF0252) - Exoenzyme (VFC0251)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	hasA	2053	2144	95.75559701492537	(hasA) hyaluronan synthase HasA [Hyaluronic acid capsule (VF0244) - Immune modulation (VFC0258)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	hasB	2052	2144	95.7089552238806	(hasB) UDP-glucose 6-dehydrogenase HasB [Hyaluronic acid capsule (VF0244) - Immune modulation (VFC0258)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	hasC	2057	2144	95.94216417910447	(hasC) UTP--glucose-1-phosphate uridylyltransferase HasC [Hyaluronic acid capsule (VF0244) - Immune modulation (VFC0258)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	speG	2033	2144	94.82276119402985	(speG) streptococcal exotoxin G precursor [Spes (VF0248) - Exotoxin (VFC0235)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	grab	447	2144	20.848880597014926	(grab) protein GRAB (protein G-related alpha 2M-binding protein) [GRAB (VF0254) - Others (VFC0346)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	mf2	671	2144	31.296641791044777	(mf2) deoxyribonuclease phage associated [Mitogenic factor (VF0252) - Exoenzyme (VFC0251)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	speC	667	2144	31.110074626865668	(speC) streptococcal exotoxin C precursor phage associated [Spes (VF0248) - Exotoxin (VFC0235)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	ska	2138	2144	99.72014925373134	(ska) streptokinase A precursor [Streptokinase (VF0247) - Exoenzyme (VFC0251)] [Streptococcus pyogenes M1 GAS]
s__Streptococcus pyogenes	smeZ	2017	2144	94.07649253731343	(smeZ) streptococcal mitogenic exotoxin Z [Spes (VF0248) - Exotoxin (VFC0235)] [Streptococcus pyogenes M1 GAS]
